number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR

unsuccessful step! iteration = 1329 , error before = 19144.864567 , error next = 19145.709138 , error change = -0.844571 , lambda = 2.000000 , time consumption = 0.476514s

successful step! iteration = 1330 , error before = 19144.864567 , error next = 19144.202479 , error change = 0.662088 , lambda = 0.200000 , time consumption = 0.467542s

unsuccessful step! iteration = 1331 , error before = 19144.202479 , error next = 19145.037010 , error change = -0.834531 , lambda = 2.000000 , time consumption = 0.473263s

successful step! iteration = 1332 , error before = 19144.202479 , error next = 19143.548263 , error change = 0.654216 , lambda = 0.200000 , time consumption = 0.466283s

unsuccessful step! iteration = 1333 , error before = 19143.548263 , error next = 19144.372873 , error change = -0.824610 , lambda = 2.000000 , time consumption = 0.491697s

successful step! iteration = 1334 , error before = 19143.548263 , error next = 19142.901824 , error change = 0.646438 , lambda = 0.200000 , time consumption = 0.466490s

unsuccessful step! iteration = 1335 , error before = 19142.901824 , error next = 19143.716631 , error change = -0.814807 , lambda = 2.000000 , time consumption = 0.465823s

successful step! iteration = 1336 , error before = 19142.901824 , error next = 19142.263072 , error change = 0.638752 , lambda = 0.200000 , time consumption = 0.463369s

unsuccessful step! iteration = 1337 , error before = 19142.263072 , error next = 19143.068191 , error change = -0.805119 , lambda = 2.000000 , time consumption = 0.468942s

successful step! iteration = 1338 , error before = 19142.263072 , error next = 19141.631915 , error change = 0.631157 , lambda = 0.200000 , time consumption = 0.484811s

unsuccessful step! iteration = 1339 , error before = 19141.631915 , error next = 19142.427461 , error change = -0.795546 , lambda = 2.000000 , time consumption = 0.477236s

successful step! iteration = 1340 , error before = 19141.631915 , error next = 19141.008262 , error change = 0.623652 , lambda = 0.200000 , time consumption = 0.470398s

unsuccessful step! iteration = 1341 , error before = 19141.008262 , error next = 19141.794349 , error change = -0.786086 , lambda = 2.000000 , time consumption = 0.476524s

successful step! iteration = 1342 , error before = 19141.008262 , error next = 19140.392027 , error change = 0.616236 , lambda = 0.200000 , time consumption = 0.470019s

unsuccessful step! iteration = 1343 , error before = 19140.392027 , error next = 19141.168765 , error change = -0.776739 , lambda = 2.000000 , time consumption = 0.464028s

successful step! iteration = 1344 , error before = 19140.392027 , error next = 19139.783119 , error change = 0.608907 , lambda = 0.200000 , time consumption = 0.465804s

unsuccessful step! iteration = 1345 , error before = 19139.783119 , error next = 19140.550621 , error change = -0.767502 , lambda = 2.000000 , time consumption = 0.473055s

successful step! iteration = 1346 , error before = 19139.783119 , error next = 19139.181454 , error change = 0.601666 , lambda = 0.200000 , time consumption = 0.466157s

unsuccessful step! iteration = 1347 , error before = 19139.181454 , error next = 19139.939827 , error change = -0.758374 , lambda = 2.000000 , time consumption = 0.467925s

successful step! iteration = 1348 , error before = 19139.181454 , error next = 19138.586944 , error change = 0.594510 , lambda = 0.200000 , time consumption = 0.478898s

unsuccessful step! iteration = 1349 , error before = 19138.586944 , error next = 19139.336298 , error change = -0.749354 , lambda = 2.000000 , time consumption = 0.467325s

successful step! iteration = 1350 , error before = 19138.586944 , error next = 19137.999505 , error change = 0.587438 , lambda = 0.200000 , time consumption = 0.467415s

unsuccessful step! iteration = 1351 , error before = 19137.999505 , error next = 19138.739947 , error change = -0.740441 , lambda = 2.000000 , time consumption = 0.487878s

successful step! iteration = 1352 , error before = 19137.999505 , error next = 19137.419055 , error change = 0.580451 , lambda = 0.200000 , time consumption = 0.471119s

unsuccessful step! iteration = 1353 , error before = 19137.419055 , error next = 19138.150689 , error change = -0.731634 , lambda = 2.000000 , time consumption = 0.474332s

successful step! iteration = 1354 , error before = 19137.419055 , error next = 19136.845508 , error change = 0.573546 , lambda = 0.200000 , time consumption = 0.473236s

unsuccessful step! iteration = 1355 , error before = 19136.845508 , error next = 19137.568439 , error change = -0.722931 , lambda = 2.000000 , time consumption = 0.472103s

successful step! iteration = 1356 , error before = 19136.845508 , error next = 19136.278785 , error change = 0.566723 , lambda = 0.200000 , time consumption = 0.472766s

unsuccessful step! iteration = 1357 , error before = 19136.278785 , error next = 19136.993116 , error change = -0.714331 , lambda = 2.000000 , time consumption = 0.466017s

successful step! iteration = 1358 , error before = 19136.278785 , error next = 19135.718804 , error change = 0.559981 , lambda = 0.200000 , time consumption = 0.468928s

unsuccessful step! iteration = 1359 , error before = 19135.718804 , error next = 19136.424637 , error change = -0.705833 , lambda = 2.000000 , time consumption = 0.468232s

successful step! iteration = 1360 , error before = 19135.718804 , error next = 19135.165486 , error change = 0.553319 , lambda = 0.200000 , time consumption = 0.502880s

unsuccessful step! iteration = 1361 , error before = 19135.165486 , error next = 19135.862921 , error change = -0.697436 , lambda = 2.000000 , time consumption = 0.495090s

successful step! iteration = 1362 , error before = 19135.165486 , error next = 19134.618751 , error change = 0.546735 , lambda = 0.200000 , time consumption = 0.468603s

unsuccessful step! iteration = 1363 , error before = 19134.618751 , error next = 19135.307888 , error change = -0.689138 , lambda = 2.000000 , time consumption = 0.465363s

successful step! iteration = 1364 , error before = 19134.618751 , error next = 19134.078521 , error change = 0.540230 , lambda = 0.200000 , time consumption = 0.464788s

unsuccessful step! iteration = 1365 , error before = 19134.078521 , error next = 19134.759459 , error change = -0.680938 , lambda = 2.000000 , time consumption = 0.467522s

successful step! iteration = 1366 , error before = 19134.078521 , error next = 19133.544720 , error change = 0.533801 , lambda = 0.200000 , time consumption = 0.464958s

unsuccessful step! iteration = 1367 , error before = 19133.544720 , error next = 19134.217555 , error change = -0.672835 , lambda = 2.000000 , time consumption = 0.463859s

successful step! iteration = 1368 , error before = 19133.544720 , error next = 19133.017270 , error change = 0.527449 , lambda = 0.200000 , time consumption = 0.469891s

unsuccessful step! iteration = 1369 , error before = 19133.017270 , error next = 19133.682099 , error change = -0.664829 , lambda = 2.000000 , time consumption = 0.465616s

successful step! iteration = 1370 , error before = 19133.017270 , error next = 19132.496098 , error change = 0.521172 , lambda = 0.200000 , time consumption = 0.464267s

unsuccessful step! iteration = 1371 , error before = 19132.496098 , error next = 19133.153015 , error change = -0.656917 , lambda = 2.000000 , time consumption = 0.465917s

successful step! iteration = 1372 , error before = 19132.496098 , error next = 19131.981128 , error change = 0.514970 , lambda = 0.200000 , time consumption = 0.466144s

unsuccessful step! iteration = 1373 , error before = 19131.981128 , error next = 19132.630227 , error change = -0.649099 , lambda = 2.000000 , time consumption = 0.494494s

successful step! iteration = 1374 , error before = 19131.981128 , error next = 19131.472287 , error change = 0.508841 , lambda = 0.200000 , time consumption = 0.488555s

unsuccessful step! iteration = 1375 , error before = 19131.472287 , error next = 19132.113661 , error change = -0.641374 , lambda = 2.000000 , time consumption = 0.471954s

successful step! iteration = 1376 , error before = 19131.472287 , error next = 19130.969503 , error change = 0.502785 , lambda = 0.200000 , time consumption = 0.474318s

unsuccessful step! iteration = 1377 , error before = 19130.969503 , error next = 19131.603243 , error change = -0.633741 , lambda = 2.000000 , time consumption = 0.499527s

successful step! iteration = 1378 , error before = 19130.969503 , error next = 19130.472703 , error change = 0.496800 , lambda = 0.200000 , time consumption = 0.499862s

unsuccessful step! iteration = 1379 , error before = 19130.472703 , error next = 19131.098900 , error change = -0.626197 , lambda = 2.000000 , time consumption = 0.459575s

successful step! iteration = 1380 , error before = 19130.472703 , error next = 19129.981816 , error change = 0.490886 , lambda = 0.200000 , time consumption = 0.463161s

unsuccessful step! iteration = 1381 , error before = 19129.981816 , error next = 19130.600560 , error change = -0.618744 , lambda = 2.000000 , time consumption = 0.467333s

successful step! iteration = 1382 , error before = 19129.981816 , error next = 19129.496773 , error change = 0.485043 , lambda = 0.200000 , time consumption = 0.467703s

unsuccessful step! iteration = 1383 , error before = 19129.496773 , error next = 19130.108152 , error change = -0.611378 , lambda = 2.000000 , time consumption = 0.470290s

successful step! iteration = 1384 , error before = 19129.496773 , error next = 19129.017505 , error change = 0.479269 , lambda = 0.200000 , time consumption = 0.464377s

unsuccessful step! iteration = 1385 , error before = 19129.017505 , error next = 19129.621605 , error change = -0.604100 , lambda = 2.000000 , time consumption = 0.464471s

successful step! iteration = 1386 , error before = 19129.017505 , error next = 19128.543942 , error change = 0.473563 , lambda = 0.200000 , time consumption = 0.460884s

unsuccessful step! iteration = 1387 , error before = 19128.543942 , error next = 19129.140850 , error change = -0.596908 , lambda = 2.000000 , time consumption = 0.472453s

successful step! iteration = 1388 , error before = 19128.543942 , error next = 19128.076017 , error change = 0.467925 , lambda = 0.200000 , time consumption = 0.488922s

unsuccessful step! iteration = 1389 , error before = 19128.076017 , error next = 19128.665819 , error change = -0.589802 , lambda = 2.000000 , time consumption = 0.465699s

successful step! iteration = 1390 , error before = 19128.076017 , error next = 19127.613664 , error change = 0.462354 , lambda = 0.200000 , time consumption = 0.472038s

unsuccessful step! iteration = 1391 , error before = 19127.613664 , error next = 19128.196443 , error change = -0.582780 , lambda = 2.000000 , time consumption = 0.464485s

successful step! iteration = 1392 , error before = 19127.613664 , error next = 19127.156815 , error change = 0.456848 , lambda = 0.200000 , time consumption = 0.465497s

unsuccessful step! iteration = 1393 , error before = 19127.156815 , error next = 19127.732656 , error change = -0.575841 , lambda = 2.000000 , time consumption = 0.475350s

successful step! iteration = 1394 , error before = 19127.156815 , error next = 19126.705407 , error change = 0.451408 , lambda = 0.200000 , time consumption = 0.467938s

unsuccessful step! iteration = 1395 , error before = 19126.705407 , error next = 19127.274391 , error change = -0.568984 , lambda = 2.000000 , time consumption = 0.472441s

successful step! iteration = 1396 , error before = 19126.705407 , error next = 19126.259374 , error change = 0.446033 , lambda = 0.200000 , time consumption = 0.485939s

unsuccessful step! iteration = 1397 , error before = 19126.259374 , error next = 19126.821582 , error change = -0.562209 , lambda = 2.000000 , time consumption = 0.467830s

successful step! iteration = 1398 , error before = 19126.259374 , error next = 19125.818652 , error change = 0.440722 , lambda = 0.200000 , time consumption = 0.467863s

unsuccessful step! iteration = 1399 , error before = 19125.818652 , error next = 19126.374166 , error change = -0.555514 , lambda = 2.000000 , time consumption = 0.476026s

successful step! iteration = 1400 , error before = 19125.818652 , error next = 19125.383179 , error change = 0.435473 , lambda = 0.200000 , time consumption = 0.461415s

unsuccessful step! iteration = 1401 , error before = 19125.383179 , error next = 19125.932077 , error change = -0.548898 , lambda = 2.000000 , time consumption = 0.506563s

successful step! iteration = 1402 , error before = 19125.383179 , error next = 19124.952892 , error change = 0.430287 , lambda = 0.200000 , time consumption = 0.466353s

unsuccessful step! iteration = 1403 , error before = 19124.952892 , error next = 19125.495254 , error change = -0.542361 , lambda = 2.000000 , time consumption = 0.475308s

successful step! iteration = 1404 , error before = 19124.952892 , error next = 19124.527731 , error change = 0.425162 , lambda = 0.200000 , time consumption = 0.462141s

unsuccessful step! iteration = 1405 , error before = 19124.527731 , error next = 19125.063632 , error change = -0.535902 , lambda = 2.000000 , time consumption = 0.466651s

successful step! iteration = 1406 , error before = 19124.527731 , error next = 19124.107633 , error change = 0.420098 , lambda = 0.200000 , time consumption = 0.460912s

unsuccessful step! iteration = 1407 , error before = 19124.107633 , error next = 19124.637152 , error change = -0.529519 , lambda = 2.000000 , time consumption = 0.465848s

successful step! iteration = 1408 , error before = 19124.107633 , error next = 19123.692539 , error change = 0.415094 , lambda = 0.200000 , time consumption = 0.466858s

unsuccessful step! iteration = 1409 , error before = 19123.692539 , error next = 19124.215750 , error change = -0.523212 , lambda = 2.000000 , time consumption = 0.468783s

successful step! iteration = 1410 , error before = 19123.692539 , error next = 19123.282389 , error change = 0.410150 , lambda = 0.200000 , time consumption = 0.473869s

unsuccessful step! iteration = 1411 , error before = 19123.282389 , error next = 19123.799369 , error change = -0.516980 , lambda = 2.000000 , time consumption = 0.464570s

successful step! iteration = 1412 , error before = 19123.282389 , error next = 19122.877125 , error change = 0.405264 , lambda = 0.200000 , time consumption = 0.491072s

unsuccessful step! iteration = 1413 , error before = 19122.877125 , error next = 19123.387947 , error change = -0.510821 , lambda = 2.000000 , time consumption = 0.462218s

successful step! iteration = 1414 , error before = 19122.877125 , error next = 19122.476690 , error change = 0.400436 , lambda = 0.200000 , time consumption = 0.463048s

unsuccessful step! iteration = 1415 , error before = 19122.476690 , error next = 19122.981426 , error change = -0.504736 , lambda = 2.000000 , time consumption = 0.470649s

successful step! iteration = 1416 , error before = 19122.476690 , error next = 19122.081024 , error change = 0.395665 , lambda = 0.200000 , time consumption = 0.470448s

unsuccessful step! iteration = 1417 , error before = 19122.081024 , error next = 19122.579747 , error change = -0.498723 , lambda = 2.000000 , time consumption = 0.474648s

successful step! iteration = 1418 , error before = 19122.081024 , error next = 19121.690073 , error change = 0.390951 , lambda = 0.200000 , time consumption = 0.470666s

unsuccessful step! iteration = 1419 , error before = 19121.690073 , error next = 19122.182854 , error change = -0.492781 , lambda = 2.000000 , time consumption = 0.464490s

successful step! iteration = 1420 , error before = 19121.690073 , error next = 19121.303779 , error change = 0.386293 , lambda = 0.200000 , time consumption = 0.472011s

unsuccessful step! iteration = 1421 , error before = 19121.303779 , error next = 19121.790690 , error change = -0.486910 , lambda = 2.000000 , time consumption = 0.461700s

successful step! iteration = 1422 , error before = 19121.303779 , error next = 19120.922089 , error change = 0.381691 , lambda = 0.200000 , time consumption = 0.463471s

unsuccessful step! iteration = 1423 , error before = 19120.922089 , error next = 19121.403197 , error change = -0.481109 , lambda = 2.000000 , time consumption = 0.464129s

successful step! iteration = 1424 , error before = 19120.922089 , error next = 19120.544946 , error change = 0.377143 , lambda = 0.200000 , time consumption = 0.463370s

unsuccessful step! iteration = 1425 , error before = 19120.544946 , error next = 19121.020322 , error change = -0.475376 , lambda = 2.000000 , time consumption = 0.464159s

successful step! iteration = 1426 , error before = 19120.544946 , error next = 19120.172297 , error change = 0.372649 , lambda = 0.200000 , time consumption = 0.476771s

unsuccessful step! iteration = 1427 , error before = 19120.172297 , error next = 19120.642009 , error change = -0.469712 , lambda = 2.000000 , time consumption = 0.462880s

successful step! iteration = 1428 , error before = 19120.172297 , error next = 19119.804089 , error change = 0.368208 , lambda = 0.200000 , time consumption = 0.473298s

unsuccessful step! iteration = 1429 , error before = 19119.804089 , error next = 19120.268204 , error change = -0.464115 , lambda = 2.000000 , time consumption = 0.463742s

successful step! iteration = 1430 , error before = 19119.804089 , error next = 19119.440269 , error change = 0.363820 , lambda = 0.200000 , time consumption = 0.463359s

unsuccessful step! iteration = 1431 , error before = 19119.440269 , error next = 19119.898853 , error change = -0.458584 , lambda = 2.000000 , time consumption = 0.464629s

successful step! iteration = 1432 , error before = 19119.440269 , error next = 19119.080784 , error change = 0.359484 , lambda = 0.200000 , time consumption = 0.465364s

unsuccessful step! iteration = 1433 , error before = 19119.080784 , error next = 19119.533903 , error change = -0.453119 , lambda = 2.000000 , time consumption = 0.467630s

successful step! iteration = 1434 , error before = 19119.080784 , error next = 19118.725584 , error change = 0.355200 , lambda = 0.200000 , time consumption = 0.471671s

unsuccessful step! iteration = 1435 , error before = 19118.725584 , error next = 19119.173303 , error change = -0.447719 , lambda = 2.000000 , time consumption = 0.474288s

successful step! iteration = 1436 , error before = 19118.725584 , error next = 19118.374617 , error change = 0.350967 , lambda = 0.200000 , time consumption = 0.466307s

unsuccessful step! iteration = 1437 , error before = 19118.374617 , error next = 19118.817000 , error change = -0.442383 , lambda = 2.000000 , time consumption = 0.518142s

successful step! iteration = 1438 , error before = 19118.374617 , error next = 19118.027834 , error change = 0.346784 , lambda = 0.200000 , time consumption = 0.483084s

unsuccessful step! iteration = 1439 , error before = 19118.027834 , error next = 19118.464944 , error change = -0.437110 , lambda = 2.000000 , time consumption = 0.467001s

successful step! iteration = 1440 , error before = 19118.027834 , error next = 19117.685184 , error change = 0.342650 , lambda = 0.200000 , time consumption = 0.467642s

unsuccessful step! iteration = 1441 , error before = 19117.685184 , error next = 19118.117084 , error change = -0.431900 , lambda = 2.000000 , time consumption = 0.470898s

successful step! iteration = 1442 , error before = 19117.685184 , error next = 19117.346618 , error change = 0.338566 , lambda = 0.200000 , time consumption = 0.465879s

unsuccessful step! iteration = 1443 , error before = 19117.346618 , error next = 19117.773370 , error change = -0.426752 , lambda = 2.000000 , time consumption = 0.472416s

successful step! iteration = 1444 , error before = 19117.346618 , error next = 19117.012088 , error change = 0.334530 , lambda = 0.200000 , time consumption = 0.462755s

unsuccessful step! iteration = 1445 , error before = 19117.012088 , error next = 19117.433753 , error change = -0.421665 , lambda = 2.000000 , time consumption = 0.468669s

successful step! iteration = 1446 , error before = 19117.012088 , error next = 19116.681546 , error change = 0.330542 , lambda = 0.200000 , time consumption = 0.472291s

unsuccessful step! iteration = 1447 , error before = 19116.681546 , error next = 19117.098184 , error change = -0.416638 , lambda = 2.000000 , time consumption = 0.468721s

successful step! iteration = 1448 , error before = 19116.681546 , error next = 19116.354944 , error change = 0.326602 , lambda = 0.200000 , time consumption = 0.469673s

unsuccessful step! iteration = 1449 , error before = 19116.354944 , error next = 19116.766616 , error change = -0.411672 , lambda = 2.000000 , time consumption = 0.469131s

successful step! iteration = 1450 , error before = 19116.354944 , error next = 19116.032237 , error change = 0.322708 , lambda = 0.200000 , time consumption = 0.468060s

unsuccessful step! iteration = 1451 , error before = 19116.032237 , error next = 19116.439000 , error change = -0.406764 , lambda = 2.000000 , time consumption = 0.465882s

successful step! iteration = 1452 , error before = 19116.032237 , error next = 19115.713376 , error change = 0.318860 , lambda = 0.200000 , time consumption = 0.476516s

unsuccessful step! iteration = 1453 , error before = 19115.713376 , error next = 19116.115291 , error change = -0.401914 , lambda = 2.000000 , time consumption = 0.473405s

successful step! iteration = 1454 , error before = 19115.713376 , error next = 19115.398317 , error change = 0.315059 , lambda = 0.200000 , time consumption = 0.470872s

unsuccessful step! iteration = 1455 , error before = 19115.398317 , error next = 19115.795440 , error change = -0.397122 , lambda = 2.000000 , time consumption = 0.468435s

successful step! iteration = 1456 , error before = 19115.398317 , error next = 19115.087015 , error change = 0.311302 , lambda = 0.200000 , time consumption = 0.471966s

unsuccessful step! iteration = 1457 , error before = 19115.087015 , error next = 19115.479403 , error change = -0.392388 , lambda = 2.000000 , time consumption = 0.468701s

successful step! iteration = 1458 , error before = 19115.087015 , error next = 19114.779425 , error change = 0.307590 , lambda = 0.200000 , time consumption = 0.469814s

unsuccessful step! iteration = 1459 , error before = 19114.779425 , error next = 19115.167134 , error change = -0.387709 , lambda = 2.000000 , time consumption = 0.475165s

successful step! iteration = 1460 , error before = 19114.779425 , error next = 19114.475502 , error change = 0.303923 , lambda = 0.200000 , time consumption = 0.485725s

unsuccessful step! iteration = 1461 , error before = 19114.475502 , error next = 19114.858588 , error change = -0.383086 , lambda = 2.000000 , time consumption = 0.468754s

successful step! iteration = 1462 , error before = 19114.475502 , error next = 19114.175204 , error change = 0.300298 , lambda = 0.200000 , time consumption = 0.476483s

unsuccessful step! iteration = 1463 , error before = 19114.175204 , error next = 19114.553722 , error change = -0.378518 , lambda = 2.000000 , time consumption = 0.471442s

successful step! iteration = 1464 , error before = 19114.175204 , error next = 19113.878486 , error change = 0.296717 , lambda = 0.200000 , time consumption = 0.472905s

unsuccessful step! iteration = 1465 , error before = 19113.878486 , error next = 19114.252490 , error change = -0.374004 , lambda = 2.000000 , time consumption = 0.473936s

successful step! iteration = 1466 , error before = 19113.878486 , error next = 19113.585308 , error change = 0.293179 , lambda = 0.200000 , time consumption = 0.462494s

unsuccessful step! iteration = 1467 , error before = 19113.585308 , error next = 19113.954851 , error change = -0.369544 , lambda = 2.000000 , time consumption = 0.461631s

successful step! iteration = 1468 , error before = 19113.585308 , error next = 19113.295625 , error change = 0.289682 , lambda = 0.200000 , time consumption = 0.474620s

unsuccessful step! iteration = 1469 , error before = 19113.295625 , error next = 19113.660762 , error change = -0.365137 , lambda = 2.000000 , time consumption = 0.456249s

successful step! iteration = 1470 , error before = 19113.295625 , error next = 19113.009398 , error change = 0.286228 , lambda = 0.200000 , time consumption = 0.466832s

unsuccessful step! iteration = 1471 , error before = 19113.009398 , error next = 19113.370180 , error change = -0.360782 , lambda = 2.000000 , time consumption = 0.470986s

successful step! iteration = 1472 , error before = 19113.009398 , error next = 19112.726584 , error change = 0.282814 , lambda = 0.200000 , time consumption = 0.458389s

unsuccessful step! iteration = 1473 , error before = 19112.726584 , error next = 19113.083063 , error change = -0.356479 , lambda = 2.000000 , time consumption = 0.458539s

successful step! iteration = 1474 , error before = 19112.726584 , error next = 19112.447143 , error change = 0.279441 , lambda = 0.200000 , time consumption = 0.456285s

unsuccessful step! iteration = 1475 , error before = 19112.447143 , error next = 19112.799371 , error change = -0.352227 , lambda = 2.000000 , time consumption = 0.459340s

successful step! iteration = 1476 , error before = 19112.447143 , error next = 19112.171036 , error change = 0.276107 , lambda = 0.200000 , time consumption = 0.455209s

unsuccessful step! iteration = 1477 , error before = 19112.171036 , error next = 19112.519062 , error change = -0.348026 , lambda = 2.000000 , time consumption = 0.454142s

successful step! iteration = 1478 , error before = 19112.171036 , error next = 19111.898222 , error change = 0.272814 , lambda = 0.200000 , time consumption = 0.458869s

unsuccessful step! iteration = 1479 , error before = 19111.898222 , error next = 19112.242097 , error change = -0.343875 , lambda = 2.000000 , time consumption = 0.464612s

successful step! iteration = 1480 , error before = 19111.898222 , error next = 19111.628662 , error change = 0.269560 , lambda = 0.200000 , time consumption = 0.462937s

unsuccessful step! iteration = 1481 , error before = 19111.628662 , error next = 19111.968435 , error change = -0.339773 , lambda = 2.000000 , time consumption = 0.457621s

successful step! iteration = 1482 , error before = 19111.628662 , error next = 19111.362318 , error change = 0.266344 , lambda = 0.200000 , time consumption = 0.454606s

unsuccessful step! iteration = 1483 , error before = 19111.362318 , error next = 19111.698038 , error change = -0.335720 , lambda = 2.000000 , time consumption = 0.459085s

successful step! iteration = 1484 , error before = 19111.362318 , error next = 19111.099151 , error change = 0.263167 , lambda = 0.200000 , time consumption = 0.462861s

unsuccessful step! iteration = 1485 , error before = 19111.099151 , error next = 19111.430866 , error change = -0.331715 , lambda = 2.000000 , time consumption = 0.457149s

successful step! iteration = 1486 , error before = 19111.099151 , error next = 19110.839124 , error change = 0.260027 , lambda = 0.200000 , time consumption = 0.472447s

unsuccessful step! iteration = 1487 , error before = 19110.839124 , error next = 19111.166881 , error change = -0.327758 , lambda = 2.000000 , time consumption = 0.468569s

successful step! iteration = 1488 , error before = 19110.839124 , error next = 19110.582199 , error change = 0.256925 , lambda = 0.200000 , time consumption = 0.492374s

unsuccessful step! iteration = 1489 , error before = 19110.582199 , error next = 19110.906046 , error change = -0.323848 , lambda = 2.000000 , time consumption = 0.484337s

successful step! iteration = 1490 , error before = 19110.582199 , error next = 19110.328339 , error change = 0.253860 , lambda = 0.200000 , time consumption = 0.467936s

unsuccessful step! iteration = 1491 , error before = 19110.328339 , error next = 19110.648323 , error change = -0.319984 , lambda = 2.000000 , time consumption = 0.474134s

successful step! iteration = 1492 , error before = 19110.328339 , error next = 19110.077508 , error change = 0.250831 , lambda = 0.200000 , time consumption = 0.471989s

unsuccessful step! iteration = 1493 , error before = 19110.077508 , error next = 19110.393674 , error change = -0.316166 , lambda = 2.000000 , time consumption = 0.462180s

successful step! iteration = 1494 , error before = 19110.077508 , error next = 19109.829670 , error change = 0.247838 , lambda = 0.200000 , time consumption = 0.460238s

unsuccessful step! iteration = 1495 , error before = 19109.829670 , error next = 19110.142064 , error change = -0.312394 , lambda = 2.000000 , time consumption = 0.461426s

successful step! iteration = 1496 , error before = 19109.829670 , error next = 19109.584789 , error change = 0.244881 , lambda = 0.200000 , time consumption = 0.460575s

unsuccessful step! iteration = 1497 , error before = 19109.584789 , error next = 19109.893455 , error change = -0.308666 , lambda = 2.000000 , time consumption = 0.460823s

successful step! iteration = 1498 , error before = 19109.584789 , error next = 19109.342830 , error change = 0.241959 , lambda = 0.200000 , time consumption = 0.468815s

unsuccessful step! iteration = 1499 , error before = 19109.342830 , error next = 19109.647813 , error change = -0.304983 , lambda = 2.000000 , time consumption = 0.466909s

successful step! iteration = 1500 , error before = 19109.342830 , error next = 19109.103758 , error change = 0.239072 , lambda = 0.200000 , time consumption = 0.506056s

unsuccessful step! iteration = 1501 , error before = 19109.103758 , error next = 19109.405102 , error change = -0.301344 , lambda = 2.000000 , time consumption = 0.489517s

successful step! iteration = 1502 , error before = 19109.103758 , error next = 19108.867540 , error change = 0.236219 , lambda = 0.200000 , time consumption = 0.472085s

unsuccessful step! iteration = 1503 , error before = 19108.867540 , error next = 19109.165288 , error change = -0.297748 , lambda = 2.000000 , time consumption = 0.470769s

successful step! iteration = 1504 , error before = 19108.867540 , error next = 19108.634140 , error change = 0.233400 , lambda = 0.200000 , time consumption = 0.478173s

unsuccessful step! iteration = 1505 , error before = 19108.634140 , error next = 19108.928335 , error change = -0.294195 , lambda = 2.000000 , time consumption = 0.466699s

successful step! iteration = 1506 , error before = 19108.634140 , error next = 19108.403525 , error change = 0.230614 , lambda = 0.200000 , time consumption = 0.463584s

unsuccessful step! iteration = 1507 , error before = 19108.403525 , error next = 19108.694209 , error change = -0.290684 , lambda = 2.000000 , time consumption = 0.477703s

successful step! iteration = 1508 , error before = 19108.403525 , error next = 19108.175663 , error change = 0.227862 , lambda = 0.200000 , time consumption = 0.472372s

unsuccessful step! iteration = 1509 , error before = 19108.175663 , error next = 19108.462878 , error change = -0.287215 , lambda = 2.000000 , time consumption = 0.470155s

successful step! iteration = 1510 , error before = 19108.175663 , error next = 19107.950520 , error change = 0.225143 , lambda = 0.200000 , time consumption = 0.482021s

unsuccessful step! iteration = 1511 , error before = 19107.950520 , error next = 19108.234308 , error change = -0.283787 , lambda = 2.000000 , time consumption = 0.469508s

successful step! iteration = 1512 , error before = 19107.950520 , error next = 19107.728065 , error change = 0.222456 , lambda = 0.200000 , time consumption = 0.494800s

unsuccessful step! iteration = 1513 , error before = 19107.728065 , error next = 19108.008465 , error change = -0.280400 , lambda = 2.000000 , time consumption = 0.472217s

successful step! iteration = 1514 , error before = 19107.728065 , error next = 19107.508264 , error change = 0.219800 , lambda = 0.200000 , time consumption = 0.465181s

unsuccessful step! iteration = 1515 , error before = 19107.508264 , error next = 19107.785318 , error change = -0.277053 , lambda = 2.000000 , time consumption = 0.463828s

successful step! iteration = 1516 , error before = 19107.508264 , error next = 19107.291088 , error change = 0.217177 , lambda = 0.200000 , time consumption = 0.469660s

unsuccessful step! iteration = 1517 , error before = 19107.291088 , error next = 19107.564834 , error change = -0.273747 , lambda = 2.000000 , time consumption = 0.472670s

successful step! iteration = 1518 , error before = 19107.291088 , error next = 19107.076503 , error change = 0.214585 , lambda = 0.200000 , time consumption = 0.466358s

unsuccessful step! iteration = 1519 , error before = 19107.076503 , error next = 19107.346982 , error change = -0.270479 , lambda = 2.000000 , time consumption = 0.465738s

successful step! iteration = 1520 , error before = 19107.076503 , error next = 19106.864480 , error change = 0.212023 , lambda = 0.200000 , time consumption = 0.468110s

unsuccessful step! iteration = 1521 , error before = 19106.864480 , error next = 19107.131730 , error change = -0.267250 , lambda = 2.000000 , time consumption = 0.466016s

successful step! iteration = 1522 , error before = 19106.864480 , error next = 19106.654988 , error change = 0.209492 , lambda = 0.200000 , time consumption = 0.472205s

unsuccessful step! iteration = 1523 , error before = 19106.654988 , error next = 19106.919048 , error change = -0.264060 , lambda = 2.000000 , time consumption = 0.462525s

successful step! iteration = 1524 , error before = 19106.654988 , error next = 19106.447996 , error change = 0.206991 , lambda = 0.200000 , time consumption = 0.476800s

