number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: PCG-SSOR
unsuccessful step! iteration = 89 , error before = 84605.861180 , error next = 85582.151987 , error change = -976.290806 , lambda = 2.000000 , time consumption = 0.465127s

successful step! iteration = 90 , error before = 84605.861180 , error next = 83855.992528 , error change = 749.868653 , lambda = 0.200000 , time consumption = 0.461704s

unsuccessful step! iteration = 91 , error before = 83855.992528 , error next = 84809.533664 , error change = -953.541136 , lambda = 2.000000 , time consumption = 0.464656s

successful step! iteration = 92 , error before = 83855.992528 , error next = 83122.382909 , error change = 733.609619 , lambda = 0.200000 , time consumption = 0.459239s

unsuccessful step! iteration = 93 , error before = 83122.382909 , error next = 84054.606859 , error change = -932.223949 , lambda = 2.000000 , time consumption = 0.464141s

successful step! iteration = 94 , error before = 83122.382909 , error next = 82404.054314 , error change = 718.328595 , lambda = 0.200000 , time consumption = 0.480421s

unsuccessful step! iteration = 95 , error before = 82404.054314 , error next = 83316.269834 , error change = -912.215521 , lambda = 2.000000 , time consumption = 0.471739s

successful step! iteration = 96 , error before = 82404.054314 , error next = 81700.111944 , error change = 703.942370 , lambda = 0.200000 , time consumption = 0.468481s

unsuccessful step! iteration = 97 , error before = 81700.111944 , error next = 82593.515625 , error change = -893.403681 , lambda = 2.000000 , time consumption = 0.472642s

successful step! iteration = 98 , error before = 81700.111944 , error next = 81009.736601 , error change = 690.375343 , lambda = 0.200000 , time consumption = 0.488584s

unsuccessful step! iteration = 99 , error before = 81009.736601 , error next = 81885.423231 , error change = -875.686630 , lambda = 2.000000 , time consumption = 0.497298s

successful step! iteration = 100 , error before = 81009.736601 , error next = 80332.177827 , error change = 677.558774 , lambda = 0.200000 , time consumption = 0.457661s

unsuccessful step! iteration = 101 , error before = 80332.177827 , error next = 81191.149713 , error change = -858.971886 , lambda = 2.000000 , time consumption = 0.456859s

successful step! iteration = 102 , error before = 80332.177827 , error next = 79666.747712 , error change = 665.430116 , lambda = 0.200000 , time consumption = 0.465960s

unsuccessful step! iteration = 103 , error before = 79666.747712 , error next = 80509.923078 , error change = -843.175366 , lambda = 2.000000 , time consumption = 0.464104s

successful step! iteration = 104 , error before = 79666.747712 , error next = 79012.815290 , error change = 653.932421 , lambda = 0.200000 , time consumption = 0.465815s

unsuccessful step! iteration = 105 , error before = 79012.815290 , error next = 79841.035858 , error change = -828.220568 , lambda = 2.000000 , time consumption = 0.460186s

successful step! iteration = 106 , error before = 79012.815290 , error next = 78369.801479 , error change = 643.013811 , lambda = 0.200000 , time consumption = 0.466104s

unsuccessful step! iteration = 107 , error before = 78369.801479 , error next = 79183.839320 , error change = -814.037841 , lambda = 2.000000 , time consumption = 0.471177s

successful step! iteration = 108 , error before = 78369.801479 , error next = 77737.174478 , error change = 632.627002 , lambda = 0.200000 , time consumption = 0.485871s

unsuccessful step! iteration = 109 , error before = 77737.174478 , error next = 78537.738218 , error change = -800.563740 , lambda = 2.000000 , time consumption = 0.476175s

successful step! iteration = 110 , error before = 77737.174478 , error next = 77114.445599 , error change = 622.728879 , lambda = 0.200000 , time consumption = 0.466491s

unsuccessful step! iteration = 111 , error before = 77114.445599 , error next = 77902.186042 , error change = -787.740443 , lambda = 2.000000 , time consumption = 0.474246s

successful step! iteration = 112 , error before = 77114.445599 , error next = 76501.165482 , error change = 613.280116 , lambda = 0.200000 , time consumption = 0.476093s

unsuccessful step! iteration = 113 , error before = 76501.165482 , error next = 77276.680713 , error change = -775.515230 , lambda = 2.000000 , time consumption = 0.462263s

successful step! iteration = 114 , error before = 76501.165482 , error next = 75896.920653 , error change = 604.244829 , lambda = 0.200000 , time consumption = 0.458559s

unsuccessful step! iteration = 115 , error before = 75896.920653 , error next = 76660.760669 , error change = -763.840016 , lambda = 2.000000 , time consumption = 0.462884s

successful step! iteration = 116 , error before = 75896.920653 , error next = 75301.330389 , error change = 595.590264 , lambda = 0.200000 , time consumption = 0.456123s

unsuccessful step! iteration = 117 , error before = 75301.330389 , error next = 76054.001316 , error change = -752.670927 , lambda = 2.000000 , time consumption = 0.459411s

